frame,fm
0,0.14453125
1,0.1349826388888889
2,0.1427951388888889
3,0.1480034722222222
4,0.1540798611111111
5,0.1636284722222222
6,0.17664930555555555
7,0.1853298611111111
8,0.1870659722222222
9,0.19140625
10,0.1974826388888889
11,0.19401041666666666
12,0.1974826388888889
13,0.1957465277777778
14,0.19053819444444445
15,0.18880208333333334
16,0.18446180555555555
17,0.1879340277777778
18,0.1892361111111111
19,0.19140625
20,0.1870659722222222
21,0.19401041666666666
22,0.1792534722222222
23,0.1540798611111111
24,0.14973958333333334
25,0.13671875
26,0.13585069444444445
27,0.1228298611111111
28,0.11848958333333333
29,0.11762152777777778
30,0.12109375
31,0.10546875
32,0.0915798611111111
33,0.10460069444444445
34,0.10980902777777778
35,0.10807291666666667
36,0.11588541666666667
37,0.1349826388888889
38,0.1349826388888889
39,0.1488715277777778
40,0.1410590277777778
41,0.1488715277777778
42,0.13932291666666666
43,0.1467013888888889
44,0.1480034722222222
45,0.1480034722222222
46,0.1480034722222222
47,0.15321180555555555
48,0.1480034722222222
49,0.1540798611111111
50,0.15321180555555555
51,0.16102430555555555
52,0.16710069444444445
53,0.17057291666666666
54,0.16536458333333334
55,0.17317708333333334
56,0.18272569444444445
57,0.2026909722222222
58,0.2026909722222222
59,0.2287326388888889
60,0.22786458333333334
61,0.23914930555555555
62,0.23741319444444445
63,0.23914930555555555
64,0.24869791666666666
65,0.2521701388888889
66,0.2643229166666667
67,0.2478298611111111
68,0.2573784722222222
69,0.26953125
70,0.2860243055555556
71,0.2860243055555556
72,0.3016493055555556
73,0.30078125
74,0.31640625
75,0.3381076388888889
76,0.3450520833333333
77,0.3615451388888889
78,0.3893229166666667
79,0.4136284722222222
80,0.4361979166666667
81,0.4552951388888889
82,0.5091145833333334
83,0.5308159722222222
84,0.5542534722222222
85,0.5768229166666666
86,0.5933159722222222
87,0.6254340277777778
88,0.6592881944444444
89,0.6449652777777778
90,0.6831597222222222
91,0.7352430555555556
92,0.6588541666666666
93,0.6996527777777778
94,0.6592881944444444
95,0.7061631944444444
96,0.6558159722222222
97,0.7191840277777778
98,0.6723090277777778
99,0.7078993055555556
100,0.6818576388888888
101,0.6814236111111112
102,0.6692708333333334
103,0.6944444444444444
104,0.6410590277777778
105,0.66015625
106,0.6263020833333334
107,0.6549479166666666
108,0.6332465277777778
109,0.6853298611111112
110,0.64453125
111,0.6844618055555556
112,0.6453993055555556
113,0.6697048611111112
114,0.5603298611111112
115,0.5099826388888888
116,0.38671875
117,0.3407118055555556
118,0.2825520833333333
119,0.2582465277777778
120,0.2426215277777778
121,0.22960069444444445
122,0.2269965277777778
123,0.20572916666666666
124,0.19618055555555555
125,0.17838541666666666
126,0.17664930555555555
127,0.16319444444444445
128,0.1623263888888889
129,0.16145833333333334
130,0.1527777777777778
131,0.16102430555555555
132,0.1566840277777778
133,0.14713541666666666
134,0.1636284722222222
135,0.1644965277777778
136,0.16276041666666666
137,0.16536458333333334
138,0.1558159722222222
139,0.1558159722222222
140,0.15321180555555555
141,0.1488715277777778
142,0.15147569444444445
143,0.14713541666666666
144,0.1401909722222222
145,0.1427951388888889
146,0.13585069444444445
147,0.12890625
148,0.12456597222222222
149,0.10894097222222222
150,0.10460069444444445
151,0.09765625
152,0.0954861111111111
153,0.09461805555555555
154,0.10503472222222222
155,0.11805555555555555
156,0.1232638888888889
157,0.1310763888888889
158,0.14149305555555555
159,0.1423611111111111
160,0.1423611111111111
161,0.14149305555555555
162,0.1345486111111111
163,0.140625
164,0.13194444444444445
165,0.1328125
166,0.11979166666666667
167,0.1284722222222222
168,0.1284722222222222
169,0.1371527777777778
170,0.13975694444444445
