frame,fm
0,0.006957465277777778
1,0.006922743055555555
2,0.006922743055555555
3,0.006879340277777778
4,0.0068706597222222224
5,0.006818576388888889
6,0.0068012152777777776
7,0.006792534722222222
8,0.006766493055555556
9,0.0067230902777777775
10,0.006644965277777777
11,0.006697048611111111
12,0.006697048611111111
13,0.006705729166666666
14,0.006688368055555556
15,0.0066796875
16,0.0067317708333333335
17,0.006697048611111111
18,0.006671006944444445
19,0.006714409722222222
20,0.006740451388888889
21,0.006792534722222222
22,0.0067578125
23,0.006827256944444445
24,0.006844618055555555
25,0.006844618055555555
26,0.0068359375
27,0.006957465277777778
28,0.0069401041666666665
29,0.0069487847222222225
30,0.007052951388888889
31,0.0072352430555555555
32,0.0072265625
33,0.007330729166666667
34,0.007434895833333333
35,0.007591145833333333
36,0.007886284722222222
37,0.007999131944444444
38,0.008328993055555555
39,0.0085546875
40,0.008919270833333333
41,0.00911892361111111
42,0.009596354166666666
43,0.009822048611111111
44,0.010143229166666667
45,0.010577256944444445
46,0.0107421875
47,0.011011284722222223
48,0.011453993055555556
49,0.011853298611111111
50,0.012434895833333333
51,0.012808159722222223
52,0.013311631944444444
53,0.013667534722222222
54,0.0143359375
55,0.0149609375
56,0.015638020833333332
57,0.016228298611111112
58,0.016844618055555555
59,0.0174609375
60,0.017916666666666668
61,0.01839409722222222
62,0.018697916666666668
63,0.01921440972222222
64,0.01967013888888889
65,0.020108506944444444
66,0.020603298611111112
67,0.020950520833333333
68,0.021098090277777776
69,0.021358506944444446
70,0.02164496527777778
71,0.0221484375
72,0.02236111111111111
73,0.022643229166666667
74,0.023190104166666666
75,0.023450520833333332
76,0.023828125
77,0.024205729166666665
78,0.0246484375
79,0.024978298611111113
80,0.025421006944444446
81,0.02554253472222222
82,0.025802951388888887
83,0.026089409722222224
84,0.026063368055555557
85,0.02619357638888889
86,0.02640190972222222
87,0.02648871527777778
88,0.026610243055555555
89,0.0264453125
90,0.026532118055555557
91,0.026844618055555554
92,0.026636284722222223
93,0.026584201388888888
94,0.026280381944444445
95,0.026740451388888888
96,0.026106770833333334
97,0.026462673611111112
98,0.02640190972222222
99,0.02638454861111111
100,0.026011284722222222
101,0.026236979166666667
102,0.0261328125
103,0.026236979166666667
104,0.02591579861111111
105,0.026931423611111113
106,0.0270703125
107,0.027408854166666666
108,0.027573784722222223
109,0.027842881944444446
110,0.02752170138888889
111,0.027686631944444446
112,0.02718315972222222
113,0.02713107638888889
114,0.0261328125
115,0.025672743055555555
116,0.024127604166666667
117,0.023407118055555554
118,0.021966145833333332
119,0.020933159722222223
120,0.0198046875
121,0.018971354166666666
122,0.018493923611111112
123,0.01724392361111111
124,0.016349826388888888
125,0.015247395833333333
126,0.014778645833333333
127,0.013763020833333334
128,0.013389756944444444
129,0.012703993055555555
130,0.012356770833333334
131,0.011471354166666666
132,0.011141493055555556
133,0.010750868055555555
134,0.010360243055555555
135,0.009908854166666667
136,0.009544270833333333
137,0.009240451388888888
138,0.008997395833333333
139,0.008641493055555555
140,0.0084765625
141,0.008181423611111112
142,0.008059895833333334
143,0.007825520833333334
144,0.0077734375
145,0.0076171875
146,0.007547743055555556
147,0.007330729166666667
148,0.0071571180555555555
149,0.006966145833333334
150,0.0069921875
151,0.007000868055555555
152,0.006931423611111111
153,0.007035590277777778
154,0.007035590277777778
155,0.007035590277777778
156,0.007113715277777778
157,0.007217881944444444
158,0.007348090277777778
159,0.0074522569444444445
160,0.007486979166666667
161,0.007573784722222222
162,0.007582465277777777
163,0.007677951388888889
164,0.007651909722222222
165,0.007825520833333334
166,0.007981770833333334
167,0.008033854166666667
168,0.007990451388888889
169,0.008051215277777777
170,0.008042534722222222
