frame,fm
0,1.6918403
1,1.5685763
2,1.8394097
3,1.6215278
4,1.8515625
5,1.640625
6,1.8611112
7,1.7092013
8,1.8940972
9,1.7934028
10,1.9123263
11,1.7126737
12,1.9184028
13,1.7873263
14,1.8767362
15,1.7743056
16,1.9305556
17,1.7664931
18,1.9444444
19,1.8168403
20,1.9201388
21,1.8680556
22,1.9166666
23,1.7552084
24,1.9913194
25,1.7065972
26,1.9314237
27,1.8619791
28,2.0130208
29,1.8038194
30,2.000868
31,1.7317709
32,1.6536459
33,1.7352431
34,1.7057291
35,1.8151041
36,1.7951388
37,2.0034723
38,1.8810763
39,2.0607638
40,2.0112848
41,2.0998263
42,2.0581598
43,2.2291667
44,2.1440973
45,2.3454862
46,2.1640625
47,2.3315973
48,2.219618
49,2.4583333
50,2.2204862
51,2.5260417
52,2.2994792
53,2.6805556
54,2.4279513
55,2.8072917
56,2.625868
57,3.014757
58,2.7586806
59,3.2057292
60,3.1927083
61,3.157118
62,3.4791667
63,3.2456598
64,3.5980902
65,3.6579862
66,3.9800348
67,3.8151042
68,4.15191
69,4.08941
70,4.435764
71,4.4618053
72,4.75
73,4.671007
74,4.90625
75,5.0902777
76,5.471354
77,5.7152777
78,6.1814237
79,6.47309
80,7.1197915
81,7.780382
82,8.605035
83,9.253472
84,10.010417
85,11.10243
86,12.048611
87,13.124132
88,13.857639
89,14.086805
90,15.360243
91,17.105904
92,15.225695
93,17.10243
94,16.14236
95,17.290798
96,16.713541
97,17.890625
98,16.947048
99,17.886284
100,16.601562
101,17.702257
102,16.551216
103,17.177084
104,15.421875
105,15.6067705
106,14.652778
107,15.192708
108,13.4817705
109,14.917535
110,13.993055
111,15.290798
112,14.514757
113,15.081597
114,11.901042
115,10.848958
116,7.3654513
117,6.457465
118,4.9765625
119,5.1770835
120,4.2439237
121,3.5060763
122,3.7847223
123,3.078993
124,3.405382
125,2.9435763
126,3.2239583
127,2.6388888
128,3.1605902
129,2.5998263
130,2.8368056
131,2.5086806
132,2.702257
133,2.1848958
134,2.500868
135,2.2118056
136,2.4921875
137,2.141493
138,2.4157987
139,2.3038194
140,2.4479167
141,2.2092013
142,2.3767362
143,2.0711806
144,2.1822917
145,1.9956597
146,2.3012152
147,1.8480903
148,2.1163194
149,1.8394097
150,1.9626737
151,1.6944444
152,1.703125
153,1.8550347
154,1.7482638
155,1.8845487
156,1.7300347
157,1.9192709
158,1.7534722
159,1.9392362
160,1.8020834
161,2.0677083
162,1.8463541
163,2.0234375
164,1.890625
165,2.2291667
166,1.9270834
167,2.219618
168,1.9375
169,2.2300348
170,2.2230902
