frame,fm
0,0.22600001096725464
1,0.21888889372348785
2,0.23017778992652893
3,0.2242666631937027
4,0.23417778313159943
5,0.23626667261123657
6,0.242533341050148
7,0.23582224547863007
8,0.24613332748413086
9,0.243777796626091
10,0.24666665494441986
11,0.24284444749355316
12,0.2497333139181137
13,0.24844443798065186
14,0.2570222020149231
15,0.2556000053882599
16,0.26377782225608826
17,0.25911110639572144
18,0.27080002427101135
19,0.2628888785839081
20,0.2721777856349945
21,0.2694222331047058
22,0.2735111117362976
23,0.2611555755138397
24,0.2751111090183258
25,0.2670222222805023
26,0.27791112661361694
27,0.26777780055999756
28,0.27497777342796326
29,0.2667555510997772
30,0.28075554966926575
31,0.26920002698898315
32,0.2622666656970978
33,0.2670666575431824
34,0.25999999046325684
35,0.2603999972343445
36,0.2531999945640564
37,0.2555111050605774
38,0.2488444447517395
39,0.26088887453079224
40,0.2533777952194214
41,0.2591555714607239
42,0.2587999999523163
43,0.26831111311912537
44,0.2647555470466614
45,0.2723555564880371
46,0.26848888397216797
47,0.272088885307312
48,0.26493334770202637
49,0.28182220458984375
50,0.2761777937412262
51,0.28706663846969604
52,0.28928887844085693
53,0.30426666140556335
54,0.31075555086135864
55,0.32982224225997925
56,0.3296000361442566
57,0.3467555642127991
58,0.3460000157356262
59,0.35866665840148926
60,0.37075555324554443
61,0.3768444359302521
62,0.39924442768096924
63,0.3930666744709015
64,0.4152444005012512
65,0.41004443168640137
66,0.42568889260292053
67,0.4242221713066101
68,0.43897780776023865
69,0.43480002880096436
70,0.4493333399295807
71,0.44333332777023315
72,0.4520888924598694
73,0.4404444396495819
74,0.4566666781902313
75,0.4490222632884979
76,0.4631110727787018
77,0.4586666524410248
78,0.4679555892944336
79,0.46368885040283203
80,0.47617778182029724
81,0.47537776827812195
82,0.4870222210884094
83,0.4870222508907318
84,0.49693337082862854
85,0.5025333166122437
86,0.5198222398757935
87,0.5170222520828247
88,0.5368000268936157
89,0.5282222628593445
90,0.5459110736846924
91,0.560533344745636
92,0.5309333205223083
93,0.5531111359596252
94,0.533466637134552
95,0.549155592918396
96,0.5283555388450623
97,0.5490221977233887
98,0.5297333002090454
99,0.5449777841567993
100,0.530311107635498
101,0.5369778275489807
102,0.5243555307388306
103,0.5392444133758545
104,0.518488883972168
105,0.5340888500213623
106,0.5251111388206482
107,0.5391110777854919
108,0.534000039100647
109,0.5468889474868774
110,0.5349777340888977
111,0.5465777516365051
112,0.5315555334091187
113,0.5413333773612976
114,0.4942222535610199
115,0.4869333505630493
116,0.43622222542762756
117,0.4517333209514618
118,0.4096444249153137
119,0.4301777780056
120,0.3847111165523529
121,0.36257773637771606
122,0.3687555193901062
123,0.33053332567214966
124,0.3425333499908447
125,0.310177743434906
126,0.32386666536331177
127,0.2935555577278137
128,0.3096444606781006
129,0.28768888115882874
130,0.2940444350242615
131,0.27524447441101074
132,0.30133333802223206
133,0.27453333139419556
134,0.2888444662094116
135,0.2743110954761505
136,0.280266672372818
137,0.26631107926368713
138,0.2778666615486145
139,0.2663111090660095
140,0.26946666836738586
141,0.26319998502731323
142,0.2668888568878174
143,0.2530222237110138
144,0.2594222128391266
145,0.2492889016866684
146,0.25395557284355164
147,0.2309333235025406
148,0.23853331804275513
149,0.22057777643203735
150,0.23373332619667053
151,0.21871110796928406
152,0.21199998259544373
153,0.2235555648803711
154,0.2136888951063156
155,0.2150222212076187
156,0.20244446396827698
157,0.20626665651798248
158,0.21222223341464996
159,0.2171555459499359
160,0.2148444503545761
161,0.22333334386348724
162,0.2184888869524002
163,0.2330666482448578
164,0.22840000689029694
165,0.24128888547420502
166,0.24524444341659546
167,0.24977777898311615
168,0.23675554990768433
169,0.24631111323833466
170,0.2428000122308731
